기관명,소계,2013년 이전,2014년,2015년,2016년,2017년,2018년
강 남 구,"5,221",2455,430,546,765,577,448
강 동 구,"1,879",824,59,144,194,273,385
강 북 구,"1,265",472,74,145,254,1,319
강 서 구,"1,617",492,230,187,190,264,254
관 악 구,"3,985",905,487,609,619,694,671
광 진 구,"1,581",595,87,64,21,468,346
구 로 구,"3,227",1420,187,268,326,540,486
금 천 구,"1,634",286,101,382,136,199,530
노 원 구,"1,906",801,80,461,298,110,156
도 봉 구,858,271,185,59,155,117,71
동대문구,"3,073",1070,"1,326",111,233,136,197
동 작 구,"1,780",360,503,130,254,278,255
마 포 구,"1,935",762,70,177,359,372,195
서대문구,"2,121",1012,114,109,277,415,194
서 초 구,"2,835",1491,134,215,352,247,396
성 동 구,"2,679",892,101,258,201,933,294
성 북 구,"3,003",1167,241,279,388,285,643
송 파 구,"1,586",787,21,166,100,116,396
양 천 구,"2,775",1118,169,172,349,137,830
영등포구,"2,495",459,217,366,289,371,793
용 산 구,"2,063",1632,107,102,89,60,73
은 평 구,"2,962",1547,343,180,296,229,367
종 로 구,"1,471",614,132,195,148,281,101
중     구,"1,544",304,80,245,270,317,328
중 랑 구,"1,577",509,770,102,121,66,9
